compound_name,retention_time,smiles,split_index
1_PE 17:0-14:1-d5_ISTD,4.7810000000000015,CCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[NH3+],1
1_PE 17:0-16:1-d5_ISTD,5.3870000000000005,CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[NH3+],1
1_PE 17:0-18:1-d5_ISTD,6.035,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[NH3+],1
1_PE 17:0-20:3-d5_ISTD,5.694,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[NH3+],1
1_PE 17:0-22:4-d5_ISTD,5.877000000000002,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[NH3+],1
1_PG 17:0-14:1-d5_ISTD,4.217,CCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC(O)CO,2
1_PG 17:0-16:1-d5_ISTD,4.731,CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC(O)CO,1
1_PG 17:0-18:1-d5_ISTD,5.312,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC(O)CO,1
1_PG 17:0-20:3-d5_ISTD,5.013999999999999,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC(O)CO,1
1_PG 17:0-22:4-d5_ISTD,5.188,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC(O)CO.[Na+],1
1_PS 17:0-14:1-d5_ISTD,4.159,CCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-],1
1_PS 17:0-16:1-d5_ISTD,4.682,CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-],1
1_PS 17:0-18:1-d5_ISTD,5.271,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-],1
1_PS 17:0-20:3-d5_ISTD,4.964,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-],2
1_PS 17:0-22:4-d5_ISTD,5.162999999999999,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-],1
1_DG 17:0-14:1-d5_ISTD,5.943,CCCC/C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCCC,1
1_DG 17:0-16:1-d5_ISTD,6.599,CCCCCC/C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCCC,1
1_DG 17:0-18:1-d5_ISTD,7.271,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCCC,1
1_DG 17:0-20:3-d5_ISTD,6.89,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCCC,1
1_DG 17:0-22:4-d5_ISTD,7.072,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCCC,1
1_PI 17:0-14:1-d5_ISTD,4.051,CCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O.[NH4+],1
1_PI 17:0-16:1-d5_ISTD,4.565,CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O.[NH4+],1
1_PI 17:0-18:1-d5_ISTD,5.122000000000001,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O.[NH4+],1
1_PI 17:0-20:3-d5_ISTD,4.839,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O.[NH4+],1
1_PI 17:0-22:4-d5_ISTD,5.022,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O.[NH4+],1
1_LPI 15:0-d5_ISTD,0.88,CCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O.[NH4+],1
1_LPI 17:0-d5_ISTD,1.3030000000000002,CCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O.[NH4+],1
1_LPI 19:0-d5_ISTD,1.984,CCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O.[NH4+],1
1_LPS 15:0-d5_ISTD,0.921,CCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-],1
1_LPS 17:0-d5_ISTD,1.37,CCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-],1
