smiles,compounds,RT_mean,RT_std,RT_var
COC1=CC2=C(C=C1)C(=C(O2)C(=O)C3=CC=CC=C3)O,Harmaline/Citropten,4.46275,2.087733,4.358628
CC1=NCCC2=C1NC3=C2C=CC(=C3)OC,"(2E)-2-[hydroxy(phenyl)methylidene]-6-methoxy-1-benzofuran-3-one/(1S,3R,6R,7S,8S,10R,13S,16S,17R)-8-tert-butyl-6,17-dihydroxy-16-methyl-2,4,14,19-tetraoxahexacyclo[8.7.2.0¹,¹¹.0³,?.0?,¹¹.0¹³,¹?]nonadecane-5,15,18-trione",4.4055,0.171827,0.029525
