,importance,stddev,p_value,n,p99_high,p99_low
AATSC8are,0.0007423671211933177,0.0012239082119556884,0.20183348401091517,3,0.007755496899427702,-0.006270762657041067
AATS8se,0.0007249700745409574,0.0004833585958641814,0.060854357465802485,3,0.0034946684302730293,-0.0020447282811911147
AATS5se,0.0007231002521430144,0.00081225994969946,0.13151573862182905,3,0.005377439838444187,-0.003931239334158157
ZMIC2,0.0007164521025042891,0.0004954395408584716,0.06460759872043777,3,0.0035553756127545133,-0.002122471407745935
AATSC2i,0.0007153456957117629,0.0002454864291810611,0.01854281912282491,3,0.002122010157821326,-0.0006913187663978004
ATSC3c,0.0007027564648883119,0.00010432619671974466,0.003633056765679429,3,0.0013005571412119618,0.00010495578856466192
AATS2s,0.000698471092118467,4.626801437182393e-05,0.0007297297248019626,3,0.0009635919453010117,0.0004333502389359223
ATS7m,0.0006954735198515527,0.00040533864325933625,0.048514254494856954,3,0.003018108895235483,-0.0016271618555323778
SIC3,0.0006721109602944494,0.000842629995418028,0.15060189118062917,3,0.005500474276410206,-0.004156252355821308
MATS6c,0.0006636941033291432,0.00014231478099594025,0.007491454164777514,3,0.0014791735802506274,-0.00015178537359234075
LogEE_Dzare,0.0006521669529382009,0.0003000410833515977,0.031934567546583935,3,0.0023714356332132035,-0.0010671017273368019
AATSC3v,0.000651600975309613,0.0005808092144546791,0.09573147177257843,3,0.003979702182226349,-0.0026765002316071233
SpAbs_Dzare,0.0006448723537372433,0.000536427633495106,0.08638116803714989,3,0.0037186621801172407,-0.002428917472642754
MATS4d,0.0006389695460619904,0.0006271354546807506,0.10982735433347189,3,0.004232525246762991,-0.0029545861546390103
MATS2p,0.0006319485537997216,0.00047934970545951286,0.07492196801273351,3,0.003378675522952293,-0.0021147784153528497
ATSC6v,0.0006307781399411775,3.773653700041122e-05,0.0005954471631155926,3,0.0008470126816983083,0.0004145435981840467
GATS1are,0.0006307155043787926,0.0005248204645988887,0.08642322730492773,3,0.003637994965821387,-0.002376563957063802
AATS8pe,0.000622825514824149,0.0002533383702740164,0.025485250696560047,3,0.0020744824701272634,-0.0008288314404789651
AXp-1d,0.0005985849756224385,0.00035270637628872093,0.049433272883755625,3,0.0026196316246771363,-0.0014224616734322595
ATSC7dv,0.0005789619250580746,0.0004399669786946447,0.07513910261540517,3,0.003100021502551079,-0.0019420976524349297
ATSC8p,0.0005622859300354425,0.0003875391870498523,0.06425812955834224,3,0.0027829284474912078,-0.001658356587420323
ATSC3pe,0.0005581485249540052,0.0006147354874390808,0.12821906608001862,3,0.004080651038281806,-0.0029643539883737954
MATS7Z,0.0005569348716703096,0.0003769244444410343,0.062371821842874015,3,0.002716753736869308,-0.0016028839935286888
ATS3i,0.0005472870885569933,0.0011853816769789335,0.2538910348456579,3,0.007339655549023987,-0.0062450813719100015
AATS3i,0.000525180524821515,0.0002947328862210305,0.04544813504205138,3,0.002214032646892669,-0.0011636715972496389
AATSC0d,0.0005250776975569879,0.0007392915954475427,0.17184557154846608,3,0.004761300522262803,-0.0037111451271488274
ATS2dv,0.0005231016758321753,0.0004468954253251127,0.08991221825024008,3,0.003083862020838946,-0.002037658669174596
MATS3dv,0.0005107174881578228,0.0004871292358706201,0.10551661098401398,3,0.003302022029267066,-0.0022805870529514207
ATSC6i,0.0004829318615462985,0.0004876837621846547,0.11422449467221238,3,0.003277413899928443,-0.0023115501768358458
AATS2d,0.00047968594800846626,0.0002943375476466988,0.052966459117264525,3,0.0021662727362081365,-0.0012069008401912038
ATSC7se,0.0004758775568680836,0.0001460176518679831,0.014989608492825343,3,0.0013125748945114796,-0.0003608197807753125
Xp-1d,0.00046856987123766736,0.0002921471767857764,0.054415562247861975,3,0.00214260559150589,-0.0012054658490305555
ATSC5Z,0.0004684969505025967,0.0014096984264612008,0.3115015541129219,3,0.008546225260820642,-0.007609231359815448
MATS5i,0.0004648645493961027,0.000354686221034634,0.0756155086524051,3,0.002497255928397221,-0.0015675268296050156
AATS6p,0.0004443243082931277,0.00040369054740495904,0.0984302197056956,3,0.0027575159116680053,-0.0018688672950817498
SdO,0.00043953698599105695,0.0004101764887739606,0.10229390119685791,3,0.002789893752660446,-0.001910819780678332
MATS8c,0.0004281176902277602,0.0001966399321780284,0.03183961714993895,3,0.001554886307740435,-0.0006986509272849147
GATS5m,0.00042028591035942847,0.00018346107966161254,0.029020257119369296,3,0.0014715382415011271,-0.0006309664207822701
GATS3se,0.00041442753574066904,0.00031242166716197997,0.0741978525663244,3,0.0022046383341780933,-0.0013757832626967554
ATS4are,0.00041147335367971993,0.000127904217056912,0.015365565660409973,3,0.0011443787011896033,-0.0003214319938301634
ATS8m,0.00040976160094939135,0.00031880179988812634,0.07795628252920885,3,0.002236531267424254,-0.0014170080655254713
SssO,0.00040780864040106574,0.0007570114708675072,0.22464265893773694,3,0.00474556831628609,-0.003929951035483959
NssCH2,0.00040632461051529994,0.0003347846372229119,0.08514124516687929,3,0.0023246777073146897,-0.00151202848628409
MATS3m,0.0004061814850754482,0.00025072479531525145,0.05350328946722456,3,0.0018428623660358028,-0.0010304993958849065
AATS3v,0.0004061253859708273,0.00039581520002015484,0.10875930738438101,3,0.0026741903755042487,-0.0018619396035625942
VSA_EState1,0.0004047869884803897,0.0004744869669935869,0.138781355009764,3,0.0031236499269760728,-0.002314075950015293
AATSC1v,0.00040422319974406373,0.00016154039250436373,0.02466464168147267,3,0.0013298675626082952,-0.0005214211631201678
GATS5v,0.0004013616582704919,0.00033354352871706964,0.08625473543884925,3,0.002312603065700273,-0.001509879749159289
AATSC2dv,0.0003991499993348524,0.00044526867662311514,0.1303512830882492,3,0.0029505888938829703,-0.0021522888952132655
GATS5pe,0.000393321138191192,0.000469599141919543,0.14197171478454737,3,0.0030841762969835234,-0.0022975340206011397
GATS3pe,0.0003896859430786252,0.00029014755485263664,0.07275682159221149,3,0.002052263607924453,-0.0012728917217672024
GATS8dv,0.0003872128994584408,0.00033609583685737594,0.09205997428045459,3,0.0023130793155671085,-0.0015386535166502268
ATSC5dv,0.0003866607294886378,0.00022779858975886704,0.049420300139650444,3,0.0016919719102388075,-0.0009186504512615321
ATS3d,0.0003836773678749239,0.00035225607066591405,0.09992886453398572,3,0.002402143715774875,-0.0016347889800250271
GATS6Z,0.0003785851675166078,0.00030357251886973895,0.08168201508952758,3,0.0021180893649245633,-0.0013609190298913478
AATSC8c,0.00036912757199151586,0.0007242386313360535,0.23523726948356694,3,0.004519095243059388,-0.0037808400990763558
ZMIC3,0.000364259451745295,0.00044180801090223454,0.14473192909558572,3,0.0028958683479466895,-0.0021673494444561
ATS5s,0.0003611170664398385,0.00016634745856094327,0.032007439473358455,3,0.0013143064508816832,-0.0005920723180020064
VSA_EState2,0.0003589561488134367,4.430123035840179e-05,0.002519447432747827,3,0.000612807111495087,0.00010510518613178645
JGI2,0.0003577887294209288,0.00039992124878734936,0.130684104957311,3,0.0026493818337253766,-0.0019338043748835189
BIC3,0.0003540197658658169,0.0005067212282429154,0.17492797064303967,3,0.003257588595897128,-0.002549549064165494
VR1_Dzse,0.0003537341721253177,6.465061335940619e-05,0.005475950966308717,3,0.0007241893560213995,-1.6721011770764137e-05
RotRatio,0.00034901767054570004,0.0002632206353437855,0.07424634923461103,3,0.0018573011005796759,-0.001159265759488276
AATSC8p,0.0003352456418720025,0.0003325144366093133,0.11143854514960681,3,0.002240590237404493,-0.001570098953660488
AATSC3m,0.000332643252594735,0.00023601387000720395,0.06735544151334907,3,0.0016850289001908208,-0.001019742395001351
AATSC7i,0.0003318877995998337,0.0004395296648000864,0.1605181948358544,3,0.0028504415199816563,-0.002186665920781989
GATS5are,0.0003299694068410279,0.0002258785808075264,0.06354764800078683,3,0.0016242787233830907,-0.0009643399097010348
GATS6dv,0.00032251851179110336,0.00035493529055922156,0.12808744438727543,3,0.0023563370867883534,-0.0017113000632061467
AATSC6m,0.00032243858652221863,0.00038785434081804325,0.14327646644155512,3,0.0025448869700182906,-0.0019000097969738533
MATS5pe,0.0003212841276512464,0.0001583998463945305,0.03617062795630924,3,0.0012289328130393087,-0.0005863645577368157
piPC3,0.0003200371371480659,7.326486125597703e-05,0.008512118633175518,3,0.0007398529167574489,-9.977864246131697e-05
MATS8v,0.0003181076444028393,0.00031056104841671464,0.10901815475472534,3,0.0020976568910989687,-0.0014614416022932903
GATS3Z,0.0003154608169233149,0.0002589623826930012,0.08466564291520685,3,0.0017993439870548416,-0.001168422353208212
ATSC5p,0.00031391527621465093,0.0004726203784848502,0.18447532355548102,3,0.0030220824555623384,-0.0023942519031330363
MDEC-13,0.0003087086702610227,0.00014018250118394076,0.03118598434852314,3,0.00111196994740332,-0.0004945526068812747
AATS4d,0.0003066252311810791,0.0005942611098703775,0.2328942616835027,3,0.0037118072905604218,-0.0030985568281982636
GATS3v,0.00030540964234504475,0.00018175686012462488,0.050281822329259394,3,0.0013468966065525686,-0.0007360773218624791
GATS6c,0.00030163464332995843,0.00020452407858261476,0.06256377546748863,3,0.0014735802940431966,-0.0008703110073832799
AXp-5d,0.00030134635012960914,0.000250242595875173,0.08615826225604928,3,0.0017352641748254274,-0.001132571474566209
AATSC8Z,0.00029341346961090736,0.0002981404243240856,0.11519330094093859,3,0.002001791162887126,-0.001414964223665311
ETA_beta_ns,0.00029293800178338086,0.00030132326176754936,0.11712278067694067,3,0.0020195537065673145,-0.0014336777030005527
IC1,0.0002900092551803661,0.00032294116710629905,0.13005255594330395,3,0.0021404979548451664,-0.001560479444484434
MIC2,0.0002864103009867595,0.0002941153852164607,0.11685754390295981,3,0.0019717240738247477,-0.0013989034718512288
AATS5p,0.00028244668181976834,0.0005410703217696332,0.23067195710978072,3,0.0033828396268577566,-0.00281794626321822
MATS7pe,0.0002812412444532693,0.0005456301019345598,0.23309197991921204,3,0.0034077622354872486,-0.0028452797465807096
AATS7dv,0.0002810894016755568,0.0002585198289929257,0.10017997994593544,3,0.001762436690029227,-0.0012002578866781135
ATS1s,0.00027945645144912085,0.00016815507931049363,0.05123630616576019,3,0.0012430037032396693,-0.0006840908003414275
MPC4,0.00027270716590073,0.00011433950646184683,0.02695162444913388,3,0.000927885217459741,-0.0003824708856582809
GATS8m,0.0002700588279754464,0.0009087527430909593,0.3289925691070049,3,0.005477312820854227,-0.004937195164903335
ATSC6d,0.0002692552472998988,8.865811899734513e-05,0.017145897082775318,3,0.0007772761007828558,-0.00023876560618305823
AATS3p,0.0002682449624017054,0.000291768018832475,0.12614840368542804,3,0.0019401080655512774,-0.0014036181407478666
nP,0.0002652592900600492,7.55693961699939e-05,0.013001636221979364,3,0.0006982803102851864,-0.000167761730165088
GATS3dv,0.00026250217154743144,0.00015087952855268933,0.04736648297840093,3,0.001127058601745761,-0.0006020542586508983
Sp,0.0002601586815595321,0.00036571374508654627,0.17154917652213497,3,0.0023557389962612163,-0.001835421633142152
AXp-3d,0.00025938215213239246,0.00022813582327359984,0.09387451009567122,3,0.0015666257183190586,-0.0010478614140542737
PEOE_VSA8,0.0002586133876044487,7.271974307536303e-05,0.012678951774907634,3,0.0006753055795887333,-0.00015807880437983588
GATS1v,0.00025797627394419376,0.00032843320726638466,0.153357886105921,3,0.0021399349727590205,-0.0016239824248706328
LogEE_A,0.0002568973088943882,0.00012066277726730864,0.033153332336379855,3,0.000948308403379685,-0.0004345137855909086
ATS4i,0.000255353022461019,0.00033643335216315483,0.15957581945314914,3,0.002183153438700126,-0.0016724473937780877
piPC9,0.00025493280939204815,0.00013552124078782733,0.041341562853186575,3,0.0010314845475601342,-0.000521618928776038
MATS4Z,0.0002538917637689153,0.00018639953579320208,0.07114889159184222,3,0.0013219817744009384,-0.0008141982468631078
SsNH3,0.0002518053134617689,0.00019187627096614165,0.07546221301128253,3,0.0013512776239702443,-0.0008476669970467067
GATS2are,0.0002478277730710299,0.00018335387330171377,0.07202582035543816,3,0.001298465799881997,-0.0008028102537399372
AATSC8m,0.00024557693657908014,0.00030662942863282535,0.1498740782290392,3,0.002002597565921601,-0.0015114436927634405
AATSC2v,0.0002449209708775731,0.00018768960198457482,0.07613492725080119,3,0.0013204032038463943,-0.0008305612620912483
BIC4,0.00024393733770888826,0.0005940875869691034,0.27536085924005255,3,0.003648125091621331,-0.0031602504162035546
AATS8Z,0.00024244484737404962,0.0002556828278431585,0.12110957370427629,3,0.0017075358045339573,-0.001222646109785858
ATSC8i,0.0002423153104342731,0.00016753591630343302,0.06458907760347088,3,0.001202314689533078,-0.000717684068664532
BalabanJ,0.0002379881710737423,0.00038134656263799963,0.19636906184281744,3,0.002423146263926466,-0.0019471699217789814
SpAD_D,0.00023620274385767934,0.00022379145040272246,0.10452334202911043,3,0.0015185525717305714,-0.0010461470840152128
ATSC7i,0.0002336810491262072,0.0003672667842770465,0.19266334751675396,3,0.0023381604506117425,-0.001870798352359328
VSA_EState4,0.00023135652453647645,0.00017630647245197884,0.07547043149617867,3,0.0012416121629660018,-0.000778899113893049
GATS8pe,0.00023062870743810007,0.000694271528398189,0.3115747269363769,3,0.00420888155550864,-0.00374762414063244
MATS8dv,0.0002285551633859443,0.0001278249556324463,0.04517722995853966,3,0.0009610063341440454,-0.0005038960073721568
MATS3v,0.00022832812389033305,4.089692228593467e-05,0.00526274137910377,3,0.000462672023800378,-6.0157760197118715e-06
MWC10,0.00022483003516255798,2.1910251903243882e-05,0.0015753554105725118,3,0.0003503782082773728,9.928186204774314e-05
ATSC3Z,0.00022469169548581616,0.00016443948779950134,0.07079010471436946,3,0.0011669481958826331,-0.0007175648049110009
MDEC-33,0.00022344507445603198,0.0003823733656426737,0.20900125070924902,3,0.002414486862391538,-0.0019675967134794737
SRW02,0.00022336497322380153,0.00017242592242387134,0.07700997190055374,3,0.0012113846296636626,-0.0007646546832160596
SIC4,0.00022133164076484912,0.0013649498164121584,0.40260367087114235,3,0.008042645453162278,-0.00759998217163258
ATS5m,0.00021888916840970274,5.895325940029718e-05,0.011668179765930096,3,0.0005566978823193444,-0.00011891954549993899
